scenario_id,method,status,invariant_valid,total_demand,served_demand,unserved_demand,service_rate,relocation_cost_centimes,decision_cost_centimes
synthetic_reallocation_001,no_relocation,BASELINE,True,11,7,4,0.636364,0,4000000
synthetic_reallocation_001,greedy,BASELINE,True,11,9,2,0.818182,20000,2020000
synthetic_reallocation_001,ortools_min_cost_flow,OPTIMAL,True,11,11,0,1.000000,70000,70000
synthetic_reallocation_002,no_relocation,BASELINE,True,14,8,6,0.571429,0,6000000
synthetic_reallocation_002,greedy,BASELINE,True,14,11,3,0.785714,33000,3033000
synthetic_reallocation_002,ortools_min_cost_flow,OPTIMAL,True,14,14,0,1.000000,115500,115500
synthetic_reallocation_003,no_relocation,BASELINE,True,17,9,8,0.529412,0,8000000
synthetic_reallocation_003,greedy,BASELINE,True,17,13,4,0.764706,52000,4052000
synthetic_reallocation_003,ortools_min_cost_flow,OPTIMAL,True,17,17,0,1.000000,176000,176000
synthetic_reallocation_004,no_relocation,BASELINE,True,18,7,11,0.388889,0,11000000
synthetic_reallocation_004,greedy,BASELINE,True,18,12,6,0.666667,72500,6072500
synthetic_reallocation_004,ortools_min_cost_flow,OPTIMAL,True,18,17,1,0.944444,227500,1227500
synthetic_reallocation_005,no_relocation,BASELINE,True,12,8,4,0.666667,0,4000000
synthetic_reallocation_005,greedy,BASELINE,True,12,10,2,0.833333,32000,2032000
synthetic_reallocation_005,ortools_min_cost_flow,OPTIMAL,True,12,12,0,1.000000,100000,100000
synthetic_reallocation_006,no_relocation,BASELINE,True,15,9,6,0.600000,0,6000000
synthetic_reallocation_006,greedy,BASELINE,True,15,12,3,0.800000,49500,3049500
synthetic_reallocation_006,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,150000,150000
synthetic_reallocation_007,no_relocation,BASELINE,True,15,7,8,0.466667,0,8000000
synthetic_reallocation_007,greedy,BASELINE,True,15,11,4,0.733333,74000,4074000
synthetic_reallocation_007,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,210000,210000
synthetic_reallocation_008,no_relocation,BASELINE,True,19,8,11,0.421053,0,11000000
synthetic_reallocation_008,greedy,BASELINE,True,19,13,6,0.684211,50000,6050000
synthetic_reallocation_008,ortools_min_cost_flow,OPTIMAL,True,19,18,1,0.947368,185000,1185000
synthetic_reallocation_009,no_relocation,BASELINE,True,13,9,4,0.692308,0,4000000
synthetic_reallocation_009,greedy,BASELINE,True,13,11,2,0.846154,23000,2023000
synthetic_reallocation_009,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,83000,83000
synthetic_reallocation_010,no_relocation,BASELINE,True,13,7,6,0.538462,0,6000000
synthetic_reallocation_010,greedy,BASELINE,True,13,10,3,0.769231,39000,3039000
synthetic_reallocation_010,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,129000,129000
synthetic_reallocation_011,no_relocation,BASELINE,True,16,8,8,0.500000,0,8000000
synthetic_reallocation_011,greedy,BASELINE,True,16,12,4,0.750000,54000,4054000
synthetic_reallocation_011,ortools_min_cost_flow,OPTIMAL,True,16,16,0,1.000000,172000,172000
synthetic_reallocation_012,no_relocation,BASELINE,True,20,9,11,0.450000,0,11000000
synthetic_reallocation_012,greedy,BASELINE,True,20,14,6,0.700000,80000,6080000
synthetic_reallocation_012,ortools_min_cost_flow,OPTIMAL,True,20,19,1,0.950000,247500,1247500
synthetic_reallocation_013,no_relocation,BASELINE,True,11,7,4,0.636364,0,4000000
synthetic_reallocation_013,greedy,BASELINE,True,11,9,2,0.818182,34000,2034000
synthetic_reallocation_013,ortools_min_cost_flow,OPTIMAL,True,11,11,0,1.000000,100000,100000
synthetic_reallocation_014,no_relocation,BASELINE,True,14,8,6,0.571429,0,6000000
synthetic_reallocation_014,greedy,BASELINE,True,14,11,3,0.785714,57000,3057000
synthetic_reallocation_014,ortools_min_cost_flow,OPTIMAL,True,14,14,0,1.000000,166500,166500
synthetic_reallocation_015,no_relocation,BASELINE,True,17,9,8,0.529412,0,8000000
synthetic_reallocation_015,greedy,BASELINE,True,17,13,4,0.764706,40000,4040000
synthetic_reallocation_015,ortools_min_cost_flow,OPTIMAL,True,17,17,0,1.000000,156000,156000
synthetic_reallocation_016,no_relocation,BASELINE,True,18,7,11,0.388889,0,11000000
synthetic_reallocation_016,greedy,BASELINE,True,18,12,6,0.666667,52500,6052500
synthetic_reallocation_016,ortools_min_cost_flow,OPTIMAL,True,18,17,1,0.944444,180000,1180000
synthetic_reallocation_017,no_relocation,BASELINE,True,12,8,4,0.666667,0,4000000
synthetic_reallocation_017,greedy,BASELINE,True,12,10,2,0.833333,24000,2024000
synthetic_reallocation_017,ortools_min_cost_flow,OPTIMAL,True,12,12,0,1.000000,81000,81000
synthetic_reallocation_018,no_relocation,BASELINE,True,15,9,6,0.600000,0,6000000
synthetic_reallocation_018,greedy,BASELINE,True,15,12,3,0.800000,40500,3040500
synthetic_reallocation_018,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,135000,135000
synthetic_reallocation_019,no_relocation,BASELINE,True,15,7,8,0.466667,0,8000000
synthetic_reallocation_019,greedy,BASELINE,True,15,11,4,0.733333,62000,4062000
synthetic_reallocation_019,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,190000,190000
synthetic_reallocation_020,no_relocation,BASELINE,True,19,8,11,0.421053,0,11000000
synthetic_reallocation_020,greedy,BASELINE,True,19,13,6,0.684211,82500,6082500
synthetic_reallocation_020,ortools_min_cost_flow,OPTIMAL,True,19,18,1,0.947368,255000,1255000
synthetic_reallocation_021,no_relocation,BASELINE,True,13,9,4,0.692308,0,4000000
synthetic_reallocation_021,greedy,BASELINE,True,13,11,2,0.846154,36000,2036000
synthetic_reallocation_021,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,106000,106000
synthetic_reallocation_022,no_relocation,BASELINE,True,13,7,6,0.538462,0,6000000
synthetic_reallocation_022,greedy,BASELINE,True,13,10,3,0.769231,27000,3027000
synthetic_reallocation_022,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,100500,100500
synthetic_reallocation_023,no_relocation,BASELINE,True,16,8,8,0.500000,0,8000000
synthetic_reallocation_023,greedy,BASELINE,True,16,12,4,0.750000,46000,4046000
synthetic_reallocation_023,ortools_min_cost_flow,OPTIMAL,True,16,16,0,1.000000,160000,160000
synthetic_reallocation_024,no_relocation,BASELINE,True,20,9,11,0.450000,0,11000000
synthetic_reallocation_024,greedy,BASELINE,True,20,14,6,0.700000,60000,6060000
synthetic_reallocation_024,ortools_min_cost_flow,OPTIMAL,True,20,19,1,0.950000,212500,1212500
synthetic_reallocation_025,no_relocation,BASELINE,True,11,7,4,0.636364,0,4000000
synthetic_reallocation_025,greedy,BASELINE,True,11,9,2,0.818182,27000,2027000
synthetic_reallocation_025,ortools_min_cost_flow,OPTIMAL,True,11,11,0,1.000000,88000,88000
synthetic_reallocation_026,no_relocation,BASELINE,True,14,8,6,0.571429,0,6000000
synthetic_reallocation_026,greedy,BASELINE,True,14,11,3,0.785714,45000,3045000
synthetic_reallocation_026,ortools_min_cost_flow,OPTIMAL,True,14,14,0,1.000000,138000,138000
synthetic_reallocation_027,no_relocation,BASELINE,True,17,9,8,0.529412,0,8000000
synthetic_reallocation_027,greedy,BASELINE,True,17,13,4,0.764706,70000,4070000
synthetic_reallocation_027,ortools_min_cost_flow,OPTIMAL,True,17,17,0,1.000000,210000,210000
synthetic_reallocation_028,no_relocation,BASELINE,True,18,7,11,0.388889,0,11000000
synthetic_reallocation_028,greedy,BASELINE,True,18,12,6,0.666667,95000,6095000
synthetic_reallocation_028,ortools_min_cost_flow,OPTIMAL,True,18,17,1,0.944444,270000,1270000
synthetic_reallocation_029,no_relocation,BASELINE,True,12,8,4,0.666667,0,4000000
synthetic_reallocation_029,greedy,BASELINE,True,12,10,2,0.833333,20000,2020000
synthetic_reallocation_029,ortools_min_cost_flow,OPTIMAL,True,12,12,0,1.000000,75000,75000
synthetic_reallocation_030,no_relocation,BASELINE,True,15,9,6,0.600000,0,6000000
synthetic_reallocation_030,greedy,BASELINE,True,15,12,3,0.800000,34500,3034500
synthetic_reallocation_030,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,126000,126000
